質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答選択肢,1.男性　2.女性　3.無回答　,,1.24歳以下　2.25～29歳　3.30～34歳　4.35～39歳　5.40～44歳　6.45～49歳　7.50～54歳　8.55～59歳　9.60～65歳,1.会社員　2.国家公務員（常勤）,1.事務・技術関係職種（事務系の業務や技術系の知識を要する業務　例：総務、企画、財務、営業、統計、設計、製造、指導、作業管理等）　2.特定分野の専門知識や特殊技能を要する職種（教員、医師、看護師等）　3.技能労務系の職種（運転手等）　4.生産労働者（工員等）　5.その他　9.公務　,"1.50人未満　2.50人以上300人未満　3.300人以上1,000人未満　4.1,000人以上5,000人未満　5.5,000人以上　9.公務",1.北海道　2.青森県　3.岩手県　4.宮城県　5.秋田県　6.山形県　7.福島県　8.茨城県　9.栃木県　10.群馬県　11.埼玉県　12.千葉県　13.東京都　14.神奈川県　15.新潟県　16.富山県　17.石川県　18.福井県　19.山梨県　20.長野県　21.岐阜県　22.静岡県　23.愛知県　24.三重県　25.滋賀県　26.京都府　27.大阪府　28.兵庫県　29.奈良県　30.和歌山県　31.鳥取県　32.島根県　33.岡山県　34.広島県　35.山口県　36.徳島県　37.香川県　38.愛媛県　39.高知県　40.福岡県　41.佐賀県　42.長崎県　43.熊本県　44.大分県　45.宮崎県　46.鹿児島県　47.沖縄県　,1.北海道・東北　2.関東（東京都除く）　3.東京都　4.中部　5.近畿　6.中国・四国　7.九州・沖縄,1.北海道　2.青森県　3.岩手県　4.宮城県　5.秋田県　6.山形県　7.福島県　8.茨城県　9.栃木県　10.群馬県　11.埼玉県　12.千葉県　13.東京都　14.神奈川県　15.新潟県　16.富山県　17.石川県　18.福井県　19.山梨県　20.長野県　21.岐阜県　22.静岡県　23.愛知県　24.三重県　25.滋賀県　26.京都府　27.大阪府　28.兵庫県　29.奈良県　30.和歌山県　31.鳥取県　32.島根県　33.岡山県　34.広島県　35.山口県　36.徳島県　37.香川県　38.愛媛県　39.高知県　40.福岡県　41.佐賀県　42.長崎県　43.熊本県　44.大分県　45.宮崎県　46.鹿児島県　47.沖縄県　,1.北海道・東北　2.関東（東京都除く）　3.東京都　4.中部　5.近畿　6.中国・四国　7.九州・沖縄,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.やったことがある／現在、やっている　2.1年以内にやろうと思っている　3.将来的にはやりたいと思っている　4.やる予定はない　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.専門分野を極めたい　2.どちらかといえば専門分野を極めたい　3.どちらともいえない　4.どちらかといえば総合的な知識を身に付けたい　5.総合的な知識を身に付けたい　,1.自分の知識・スキルの専門性を高め、活用できること　2.組織の中で、責任のある役割を担うこと　3.仕事を自分のやり方で仕切っていくこと　4.経済的な安定　5.クリエイティブに新しいことを生み出したり、自身が会社や事業を起こすこと　6.社会に貢献したり、奉仕したりすること　7.解決困難な問題に挑むこと　8.ワーク・ライフ・バランス　,1.ポジティブ　2.どちらかといえばポジティブ　3.どちらともいえない　4.どちらかといえばネガティブ　5.ネガティブ　,1.現在、転職活動中である　2.数年以内に転職することを考えている　3.将来的には転職することを考えている　4.どちらともいえない　5.全く考えていない　,1.関心がかなりある　2.どちらかというと関心がある　3.どちらともいえない　4.どちらかというと関心がない　5.関心が全くない　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　6.組織のミッション・ビジョン・バリューやパーパスを知らない　7.組織のミッション・ビジョン・バリューやパーパスが定められていない　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　,1.全くその通り　2.どちらかといえばその通り　3.どちらともいえない　4.どちらかといえば違う　5.全く違う　
回答者1,2,24,1,1,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,4,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1
回答者2,2,24,1,1,1,3,3,1,3,1,4,3,4,3,3,4,5,4,5,5,4,4,5,5,7,4,3,3,3,4,4,4,3,4,3,4,3,3
回答者3,2,23,1,1,2,3,1,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,2,2,2,3,2,3,2,3,2,2,1,2,2,2,1,1
回答者4,2,22,1,1,1,2,3,1,3,1,2,4,4,2,1,2,4,1,2,2,4,4,4,3,3,4,2,3,4,4,1,4,2,2,2,4,2,2
回答者5,1,24,1,1,4,2,7,1,7,1,2,2,3,2,1,3,2,2,2,2,4,3,3,4,7,3,1,1,2,1,2,1,1,3,2,2,1,1
回答者6,1,23,1,1,2,4,1,1,1,1,2,2,2,2,3,3,4,4,2,3,4,3,1,5,4,2,2,3,3,2,3,3,3,2,2,4,3,3
回答者7,2,20,1,1,1,3,4,1,4,1,4,2,5,3,4,4,5,4,5,3,4,5,1,2,6,2,5,5,2,4,1,3,3,5,1,5,5,4
回答者8,1,21,1,1,1,5,3,1,3,1,4,4,5,4,4,4,2,2,2,3,2,2,3,2,4,2,2,2,3,3,2,2,1,2,2,2,2,2
回答者9,2,25,2,1,1,2,3,1,3,1,2,2,3,2,2,2,2,1,2,2,5,2,5,4,3,2,2,2,2,2,4,2,2,2,2,2,2,2
